"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,091517JG1441,,421,"#42 Knotted Nylon FR 1-3/4in S;Width:75.00 FT; Length: 100.00 FT; Mesh Color: Black;Sewn Border: Polyester Braid 1/4in x 1000ft;Woven Border: 3/16in GAC Vinyl Coat Clear to;;Addon: 1in x 6in Velcro Hook & Loop",20,"421BK Knotted Nylon FR 1.75in Sq",042-045-06FR,7725,154500,SF,100,CUTS,0,0,,000,181,000,,,
,091517JG1441,,421,"#42 Knotted Nylon FR 1-3/4in S;Width:75.00 FT; Length: 100.00 FT; Mesh Color: Black;Sewn Border: Polyester Braid 1/4in x 1000ft;Woven Border: 3/16in GAC Vinyl Coat Clear to;;Addon: 1in x 6in Velcro Hook & Loop",20,"3/16in GAC Vinyl Coat Clear to 1/4in",CAB14GVC,360.5,7210,FT,200,MSMO,0.77778,15.5556,,000,181,000,,,
,091517JG1441,,421,"#42 Knotted Nylon FR 1-3/4in S;Width:75.00 FT; Length: 100.00 FT; Mesh Color: Black;Sewn Border: Polyester Braid 1/4in x 1000ft;Woven Border: 3/16in GAC Vinyl Coat Clear to;;Addon: 1in x 6in Velcro Hook & Loop",20,"Polyester Braid 1/4in x 1000ft Black",RPYB025BK,360.5,7210,FT,220,MLGO,1.75,35,,000,181,000,,,
,091517JG1441,,421,"#42 Knotted Nylon FR 1-3/4in S;Width:75.00 FT; Length: 100.00 FT; Mesh Color: Black;Sewn Border: Polyester Braid 1/4in x 1000ft;Woven Border: 3/16in GAC Vinyl Coat Clear to;;Addon: 1in x 6in Velcro Hook & Loop",20,"1in x 6in Velcro Hook  Loop",VEL1X6,10,200,EA,250,MATK,0,0,,000,181,000,,,
,091517JG1441,,421,"#42 Knotted Nylon FR 1-3/4in S;Width:75.00 FT; Length: 100.00 FT; Mesh Color: Black;Sewn Border: Polyester Braid 1/4in x 1000ft;Woven Border: 3/16in GAC Vinyl Coat Clear to;;Addon: 1in x 6in Velcro Hook & Loop",20,"5120.180.06 Thread Black",THHTBK,360.5,7210,FT,567,SEWT,0.875,17.5,,000,181,000,,,
,091517JG1441,,421,"#42 Knotted Nylon FR 1-3/4in S;Width:75.00 FT; Length: 100.00 FT; Mesh Color: Black;Sewn Border: Polyester Braid 1/4in x 1000ft;Woven Border: 3/16in GAC Vinyl Coat Clear to;;Addon: 1in x 6in Velcro Hook & Loop",20,"Set up and Other Overhead Costs",SETU,0.25,5,HR,999,SETU,7.77778,155.5556,,000,181,181,,,
