"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,022818RR1337,,EBA122.0GF,"1/2 x 2.0 Eyebolt Galv Full Th;1/2 Lock Washer;1/2 x 2.0 Eyebolt Galv 1-7/8in Full Thread w/ Nut",5,"1/2 Lock Washer",LW12,3,15,EA,899,PACK,0,0,,000,000,000,,,,0.02,2,
,022818RR1337,,EBA122.0GF,"1/2 x 2.0 Eyebolt Galv Full Th;1/2 Lock Washer;1/2 x 2.0 Eyebolt Galv 1-7/8in Full Thread w/ Nut",5,"1/2 x 2.0 Eyebolt Galv 1-7/8in Full Thread w/ Nut",EB122.0GF,3,15,EA,899,PACK,0,0,,000,000,000,,,,0.375,2,
