"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"92.77 SF PER NET; 92.77 SF PER SYSTEM; 820BK HTPP Black 2.5in Sq; ;MESH COUNT =132 x 17",218-060-06,191.10208,191.10208,SF,050,CUTS,0.14933,0.14933,,181,181,181,,,
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,060,MFER,0.06667,0.06667,,181,181,181,,,
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"52.00 FT PER NET; 52.00 FT PER SYSTEM; Hog Ring 1-1/2in Galvanized",HR112G,104,104,EA,070,HOGR,0.34667,0.34667,,181,181,181,,,
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"58.67 FT PER NET; 58.67 FT PER SYSTEM; Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,120.85333,120.85333,FT,200,MLGO,0.58667,0.58667,,181,181,181,,,
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"60.00 FT PER NET; 60.00 FT PER SYSTEM; HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.67 ft - 26.00 ft - 3.33  ft - 26.00 ft - 1.67 ft - 8 in",RPS3S050BK,123.59313,123.59313,FT,210,CWS,0.8571,0.8571,,181,181,181,,,
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"28.00 FT CABLE PER SYSTEM3/8in x 35ft 7x19 GAC w/ Thimble Eye and Plate Assy, Tape other End
3/8in x 35ft 7x19 GAC w/ Thimb",CAB3835BN,4,4,EA,899,PACK,0.06667,0.06667,,181,181,181,,,
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,181,181,181,,,
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"3.00 PER SYSTEM;Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,6,6,EA,899,PACK,0.1,0.1,,181,181,181,,,
,092917HL1030,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 52.00 FT;Net Size: 3.33 FT x 26.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"23.00 PER SYSTEM;Quicklink 10mm ZP",QL10ZP,46,46,EA,899,PACK,0.76667,0.76667,,181,181,181,,,
