"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"114.85 SF PER NET; 114.85 SF PER SYSTEM; 820BK HTPP Black 2.5in Sq; ;MESH COUNT =228 x 12",218-060-06,118.29069,118.29069,SF,050,CUTS,0.128,0.128,,181,181,181,,,,,24.50983,5.76
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,060,MFER,0.06667,0.06667,,181,181,181,,,,,0.4864,3
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"81.00 FT PER NET; 81.00 FT PER SYSTEM; Hog Ring 1-1/2in Galvanized",HR112G,81,81,EA,070,HOGR,0.27,0.27,,181,181,181,,,,,5.8563,12.15
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"94.67 FT PER NET; 94.67 FT PER SYSTEM; Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,97.50667,97.50667,FT,200,MLGO,0.47333,0.47333,,181,181,181,,,,,3.90027,21.3
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"96.00 FT PER NET; 96.00 FT PER SYSTEM; HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.17 ft - 45.00 ft - 2.33  ft - 45.00 ft - 1.17 ft - 8 in",RPS3S050BK,98.87657,98.87657,FT,210,CWS,0.68569,0.68569,,181,181,181,,,,,7.95956,30.85607
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,,,8.5,1.5
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,181,181,181,,,,,2.22,4.5
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,8,8,EA,899,PACK,0.13333,0.13333,,181,181,181,,,,,13.6,6
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"Quicklink 10mm ZP",QL10ZP,76,76,EA,899,PACK,1.26667,1.26667,,181,181,181,,,,,44.84,57
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"Snap Hook 80mm ZP",SH080ZP,10,10,EA,899,PACK,0.16667,0.16667,,181,181,181,,,,,2.25,7.5
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"Snap Hook 120mm ZP",SH120ZP,4,4,EA,899,PACK,0.06667,0.06667,,181,181,181,,,,,1.952,3
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"1/2 x 6 Jaw  Eye Turnbuckle",TB126G,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,,,7.98,1.5
,103017HL1239,,BNS38,"BayNets Safety System 3/8in Standard Pit Size: 4.00 FT x 45.00 FT Net Size: 3.33 FT x 45.00 FT Number of Bay(s): 1 Number of System(s) per Bay: 1 Number of Net(s) per System: 1 Installation Instruction included",1,"3/8 Galv Thimble",TM38G,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,,,0.3,1.5
