"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 3/8"" -16 Threaded Stud",ALBJ6061,8,8,EA,299,FRP3,0.26666,,000,181,181,,,
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,10,10,EA,299,FRP7,0.43478,,000,181,181,,,
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,5.1904,5.1904,M,140,CUTP,0.61666,,000,181,181,,,
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 3/8"" -16 Threaded Stud",THR38SS,8,8,FT,599,FRP4,0.13334,,000,181,181,,,
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,10,10,EA,299,FRP6,0.00416,,000,181,181,,,
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,4.602,4.602,M,140,CUTP,0.68332,,000,181,181,,,
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,4,4,EA,299,FRP7,0.17392,,000,181,181,,,
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 3/8"" -16 Threaded Stud",ALBJ6061,8,8,EA,299,FRP3,0.26666,,000,181,181,,,
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,4,4,EA,299,FRP6,0.00168,,000,181,181,,,
,080917JR0914,306352,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 3/8"" -16 Threaded Stud;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : 3/8"" -16 Threaded Stud",THR38SS,8,8,FT,599,FRP4,0.13334,,000,181,181,,,
