"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Red",RNF16RD,4.9,4.9,M,140,CUTL,0,0,,000,181,181,,,
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Red",RNF16RD,2.5848,2.5848,M,140,CUTL,0,0,,000,181,181,,,
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"16mm Hercules Rope Red",RNF16RD,5.492,5.492,M,140,CUTL,0,0,,000,181,181,,,
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",SHK15NSSS,2,2,EA,200,FRP3,0,0,,000,181,181,,,
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",SHK15NSSS,2,2,EA,200,FRP3,0,0,,000,181,181,,,
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",SHK15NSSS,2,2,EA,200,FRP3,0,0,,000,181,181,,,
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,2,2,EA,200,FRP3,0,0,,000,181,181,,,
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"Term : Rope Circle w/ Huck In-Line Joint - BK/SD",H466BK,1,1,EA,200,FRP3,0,0,,000,181,181,,,
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"Term : Rope Circle w/ Huck In-Line Joint - BK/SD",H466BK,1,1,EA,200,FRP3,0,0,,000,181,181,,,
,072117JR0827,178206-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Red  16.08  FT;  Rope: 16mm Hercules Rope Red  18.02  FT;  Rope: 16mm Hercules Rope Red  8.48  FT; Mesh Size: N/A;   Term : 15/32 SS Shackle w/ Nylon Thimbled Loop;    Term : Huck Nylon Thimbled Loop;    Term : Huck Standard T BK/SD;    Term : Rope Circle w/ Huck In-Line Joint - BK/SD;  Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop",AL1633,2,2,EA,299,FRP3,0,0,,000,181,181,,,
