"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"820BK HTPP Black 2.5in Sq (Length=   18.25 FT, Width=   1.83 FT, Area =    37.64 SF, Mesh Count=  92 x    9)",218-060-06,37.63567,37.63567,SF,050,CUTS,0.112,0.112,,000,181,000,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,050,FRP3,0.06667,0.06667,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in",RPS3S050BK,41.49667,41.49667,FT,200,CWS,0.2964,0.2964,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"MFP Braid 1/4in x 1000ft Black",RPYB025BK,40.16667,40.16667,FT,050,MLGO,0.20083,0.20083,,000,181,000,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"Hog Ring 1-1/2in Galvanized",HR112G,38,38,EA,050,HOGR,0.12667,0.12667,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,2,EA,899,PACK,0.03333,0.03333,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"3/8in x 45ft 7x19 GAC w/ Thimble Eye and Plate Assy, Tape other End
3/8in x 45ft 7x19 GAC w/ Thimb",CAB3845BN,2,2,EA,899,PACK,0.03333,0.03333,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,14,14,EA,899,PACK,0.23333,0.23333,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"Quicklink 10mm ZP",QL10ZP,68,68,EA,899,PACK,1.13333,1.13333,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"Steel Rod 5/8in x3ft Zinc Galv",ROD58X3ZG,2,2,EA,899,PACK,0.03333,0.03333,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"Snap Hook 80mm ZP",SH080ZP,18,18,EA,899,PACK,0.3,0.3,,000,181,000,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"Snap Hook 120mm ZP",SH120ZP,12,12,EA,899,PACK,0.2,0.2,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"1/2 x 6 Jaw  Eye Turnbuckle",TB126G,2,2,EA,899,PACK,0.03333,0.03333,,000,181,181,,,
,082317HL1017,,BNS38DF,"BayNets Safety System 3/8in Middle/Floating Drain Pan; Pit Size: 39.50 FT x 2.50 FT with 3 FT Drain; Net Size 18.25 FT x    1.83 FT",1,"3/8 Galv Thimble",TM38G,2,2,EA,899,PACK,0.03333,0.03333,,000,181,181,,,
