"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",H438-18,4,EA,299,FRP3,0.09524,,000,181,181,,,
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,14,EA,299,FRP8,0.6087,,000,181,181,,,
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"Term : Huck Aluminum T",H438-18-VPS,14,EA,299,FRP6,0.00584,,000,181,181,,,
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",TM12NYH,4,EA,299,FRP3,0.13334,,000,181,181,,,
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"Term : Huck Aluminum T",H438-18-VPS,26,EA,299,FRP6,0.01082,,000,181,181,,,
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",TM12NYH,4,EA,299,FRP3,0.13334,,000,181,181,,,
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,44,EA,299,FRP8,1.91304,,000,181,181,,,
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",H438-18,4,EA,299,FRP3,0.09524,,000,181,181,,,
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,44.913,M,140,CUTP,0.6,,000,181,181,,,
,080817JR0642,"8ft tunnel, no rings",NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop Term : PRESSED 18mm Ferrule TERMINATION ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",SHK15NSSS,4,EA,599,FRP3,0.004,,000,181,181,,,
