"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080917JM0725,,1250,"HTPP 2in Sq Width:6.00 FT Length: 11.00 FT Mesh Color: Sand Woven Border: Dyneema Braid 1/2in x 600ft Si ",7,"1250BL HTPP Blue 2in Sq",209-045-04,76.84,537.88,SF,100,CUTS,0.0905,,000,181,000,,,
,080917JM0725,,1250,"HTPP 2in Sq Width:6.00 FT Length: 11.00 FT Mesh Color: Sand Woven Border: Dyneema Braid 1/2in x 600ft Si ",7,"HTPP ProManila Ultra-3
3 Strand 3/8in x 600ft Sand",RHT3S037SD,36.2,253.4,FT,239,WEAV,0.0905,,000,181,000,,,
