"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,092717BS1052,,1250,"HTPP 2in Sq;Width:13.00 FT;Length: 13.00 FT;Mesh Color: Black;Border: None, HEAT CUT;;;",1,"1250BK HTPP Black 2in Sq",209-045-06,174.07,174.07,SF,100,CUTS,0.13,0.13,,430,430,430,,,
,092717BS1052,,1250,"HTPP 2in Sq;Width:13.00 FT;Length: 13.00 FT;Mesh Color: Black;Border: None, HEAT CUT;;;",1,"Set up and Other Overhead Costs",SETU,0.25,0.25,HR,999,SETU,0.25,0.25,,430,430,430,,,
