"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080917JR1403,210739-Alternative,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,22,22,EA,299,FRP7,0.95652,,000,181,181,,,
,080917JR1403,210739-Alternative,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,14.8402,14.8402,M,140,CUTP,1.09999,,000,181,181,,,
,080917JR1403,210739-Alternative,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",LN38SS,12,12,EA,299,FRP5,0.012,,000,181,181,,,
,080917JR1403,210739-Alternative,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",SC381.75SS,12,12,EA,299,FRP5,0.012,,000,181,181,,,
,080917JR1403,210739-Alternative,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,12,12,EA,299,FRP5,0.28572,,000,181,000,,,
,080917JR1403,210739-Alternative,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,22,22,EA,299,FRP6,0.00919,,000,181,181,,,
,080917JR1403,210739-Alternative,NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Aluminum T;  Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,6,6,EA,299,FRP8,0.26087,,000,181,181,,,
