"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080317JR1118,201533,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core 10.69 FT Rope: 18mm Hercules Rope Black - Fiber Core 1.84 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.27 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.51 FT Rope: 18mm Hercules Rope Black - Fiber Core 4.92 FT Rope: 18mm Hercules Rope Black - Fiber Core 5.19 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.02 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.71 FT Rope: 18mm Hercules Rope Black - Fiber Core 7.30 FT Rope: 18mm Hercules Rope Black - Fiber Core 9.21 FT Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",SC381.75SS,19,19,EA,299,FRP5,0.019,0.019,,000,181,181,,,
,080317JR1118,201533,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core 10.69 FT Rope: 18mm Hercules Rope Black - Fiber Core 1.84 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.27 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.51 FT Rope: 18mm Hercules Rope Black - Fiber Core 4.92 FT Rope: 18mm Hercules Rope Black - Fiber Core 5.19 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.02 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.71 FT Rope: 18mm Hercules Rope Black - Fiber Core 7.30 FT Rope: 18mm Hercules Rope Black - Fiber Core 9.21 FT Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,19,19,EA,299,FRP5,0.45239,0.45239,,000,181,000,,,
,080317JR1118,201533,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core 10.69 FT Rope: 18mm Hercules Rope Black - Fiber Core 1.84 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.27 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.51 FT Rope: 18mm Hercules Rope Black - Fiber Core 4.92 FT Rope: 18mm Hercules Rope Black - Fiber Core 5.19 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.02 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.71 FT Rope: 18mm Hercules Rope Black - Fiber Core 7.30 FT Rope: 18mm Hercules Rope Black - Fiber Core 9.21 FT Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,14,14,EA,299,FRP6,0.00582,0.00582,,000,181,181,,,
,080317JR1118,201533,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core 10.69 FT Rope: 18mm Hercules Rope Black - Fiber Core 1.84 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.27 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.51 FT Rope: 18mm Hercules Rope Black - Fiber Core 4.92 FT Rope: 18mm Hercules Rope Black - Fiber Core 5.19 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.02 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.71 FT Rope: 18mm Hercules Rope Black - Fiber Core 7.30 FT Rope: 18mm Hercules Rope Black - Fiber Core 9.21 FT Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Joint Color:Black",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,16,16,EA,299,FRP8,0.69565,0.69565,,000,181,181,,,
,080317JR1118,201533,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core 10.69 FT Rope: 18mm Hercules Rope Black - Fiber Core 1.84 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.27 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.51 FT Rope: 18mm Hercules Rope Black - Fiber Core 4.92 FT Rope: 18mm Hercules Rope Black - Fiber Core 5.19 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.02 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.71 FT Rope: 18mm Hercules Rope Black - Fiber Core 7.30 FT Rope: 18mm Hercules Rope Black - Fiber Core 9.21 FT Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,14,14,EA,299,FRP7,0.60872,0.60872,,000,181,181,,,
,080317JR1118,201533,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core 10.69 FT Rope: 18mm Hercules Rope Black - Fiber Core 1.84 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.27 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.51 FT Rope: 18mm Hercules Rope Black - Fiber Core 4.92 FT Rope: 18mm Hercules Rope Black - Fiber Core 5.19 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.02 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.71 FT Rope: 18mm Hercules Rope Black - Fiber Core 7.30 FT Rope: 18mm Hercules Rope Black - Fiber Core 9.21 FT Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,18.8596,18.8596,M,140,CUTP,1.56665,1.56665,,000,181,181,,,
,080317JR1118,201533,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core 10.69 FT Rope: 18mm Hercules Rope Black - Fiber Core 1.84 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.27 FT Rope: 18mm Hercules Rope Black - Fiber Core 2.51 FT Rope: 18mm Hercules Rope Black - Fiber Core 4.92 FT Rope: 18mm Hercules Rope Black - Fiber Core 5.19 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.02 FT Rope: 18mm Hercules Rope Black - Fiber Core 6.71 FT Rope: 18mm Hercules Rope Black - Fiber Core 7.30 FT Rope: 18mm Hercules Rope Black - Fiber Core 9.21 FT Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",LN38SS,19,19,EA,299,FRP5,0.019,0.019,,000,181,181,,,
