"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080317JR1516,210718-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  5.08  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Nylon Thimbled Loop;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,1.5469,1.5469,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080317JR1516,210718-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  5.08  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Nylon Thimbled Loop;  Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop",AL1633,1,1,EA,299,FRP3,0.03333,0.03333,,000,181,181,,,
,080317JR1516,210718-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  5.08  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Nylon Thimbled Loop;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F,1,1,EA,299,FRP3,0.03333,0.03333,,000,181,181,,,
,080317JR1516,210718-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  5.08  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Nylon Thimbled Loop;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",SC381.75SS,1,1,EA,299,FRP5,0.001,0.001,,000,181,181,,,
,080317JR1516,210718-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  5.08  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Nylon Thimbled Loop;  Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",LN38SS,1,1,EA,299,FRP5,0.001,0.001,,000,181,181,,,
,080317JR1516,210718-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  5.08  FT; Mesh Size: N/A;   Term : Clevis/Fork Termination w/ M10 Pin;    Term : Huck Nylon Thimbled Loop;  Joint Color:Black",1,"Term : Huck Nylon Thimbled Loop",TM12NYH,1,1,EA,299,FRP3,0.03333,0.03333,,000,181,181,,,
