"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,10.325,10.325,M,140,CUTL,0.2,0.2,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,4.2824,4.2824,M,140,CUTL,0.15,0.15,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,3.9144,3.9144,M,140,CUTL,0.16667,0.16667,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,3,3,EA,200,FRP3,0.05,0.05,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,3,3,EA,200,FRP3,0.05,0.05,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,2,2,EA,200,FRP3,0.03333,0.03333,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,5,5,EA,200,FRP3,0.08333,0.08333,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,2,2,EA,200,FRP3,0.03333,0.03333,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,5,5,EA,200,FRP3,0.08333,0.08333,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",AL1633,5,5,EA,299,FRP3,0.16667,0.16667,,000,181,181,,,
,080417JR1306,313037-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  12.84  FT;  Rope: 16mm Hercules Rope Black  14.05  FT;  Rope: 16mm Hercules Rope Black  33.87  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",AL1633,2,2,EA,299,FRP3,0.06667,0.06667,,000,181,181,,,
