"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,110617RR1055,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : Huck Aluminum T;Joint Color:Black",1,"18mm Hercules Rope Blue - Fiber Core",RNF18BL-FC,0.957,0.957,M,140,CUTP,0.3,0.3,,000,000,000,,,,,3.49305,13.5
,110617RR1055,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : Huck Aluminum T;Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,22,22,EA,360,FRP6,0.00916,0.00916,,000,000,000,,,,,17.6,0.4125
,110617RR1055,,NF18mm,"18mm Netform;Rope: 18mm Hercules Rope Blue - Fiber Core;Mesh Size: N/A;  Term : Huck Aluminum T;Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,22,22,EA,370,FRP7,0.95652,0.95652,,000,000,000,,,,,92.4,43.04348
