"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"124.64 SF PER NET; 124.64 SF PER SYSTEM; 820BK HTPP Black 2.5in Sq; ;MESH COUNT =177 x 17",218-060-06,256.7584,256.7584,SF,050,CUTS,0.19733,0.19733,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,060,MFER,0.06667,0.06667,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"67.00 FT PER NET; 67.00 FT PER SYSTEM; Hog Ring 1-1/2in Galvanized",HR112G,134,134,EA,070,HOGR,0.44667,0.44667,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"76.67 FT PER NET; 76.67 FT PER SYSTEM; Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,157.93333,157.93333,FT,200,MLGO,0.76667,0.76667,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"78.00 FT PER NET; 78.00 FT PER SYSTEM; HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.67 ft - 35.00 ft - 3.33  ft - 35.00 ft - 1.67 ft - 8 in",RPS3S050BK,160.67313,160.67313,FT,210,CWS,1.11424,1.11424,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"1/2in x 2in x 3.25in Mild Steel with Two 5/8in Drill Thrus1/2in x 2in x 3.25in Mild Stee",BN-CABLUG,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"37.00 FT CABLE PER NET;37.00 FT CABLE PER SYSTEM;3/8in x 45ft 7x19 GAC w/ Thimble Eye and Plate Assy, Tape other End
3/8in x 45ft 7x19 GAC w/ Thimb",CAB3845BN,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"3/8 Cable Clamp",CC38G,6,6,EA,899,PACK,0.1,0.1,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"4.00 PER SYSTEM;Pad Eye 3/8 Weldable
3/4"" I.D.Pad Eye 3/8 Weldable",PE38F,8,8,EA,899,PACK,0.13333,0.13333,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"30.00 PER SYSTEM;Quicklink 10mm ZP",QL10ZP,60,60,EA,899,PACK,1,1,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"5.00 PER SYSTEM;Snap Hook 80mm ZP",SH080ZP,10,10,EA,899,PACK,0.16667,0.16667,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"Snap Hook 120mm ZP",SH120ZP,4,4,EA,899,PACK,0.06667,0.06667,,181,181,181,,,
,092917HL0940,,BNS38,"BayNets Safety System 3/8in Standard;Pit Size: 4.00 FT x 70.00 FT;Net Size: 3.33 FT x 35.00 FT;Number of Bay(s): 1;Number of Systems per Bay: 2;Number of Nets per System: 1;;Connecting Hardware included;Installation Instruction included",1,"1/2 x 6 Jaw  Eye Turnbuckle",TB126G,2,2,EA,899,PACK,0.03333,0.03333,,181,181,181,,,
