"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,082417JG1336,,BA385.0,"3/8 x 5.0 HH Bolt w/ FW & HN;3/8 Flange Nut;3/8 x 5.0 HH Bolt",1,"3/8 x 5.0 HH Bolt",B385.0,3,3,EA,100,ASY,0,0,,000,181,430,,,
,082417JG1336,,BA385.0,"3/8 x 5.0 HH Bolt w/ FW & HN;3/8 Flange Nut;3/8 x 5.0 HH Bolt",1,"3/8 Flange Nut",FN38,5,5,EA,100,ASY,0,0,,000,181,430,,,
