"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080417JR1449,313482-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  .61  FT; Mesh Size: N/A;   Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,0.18706,0.18706,M,140,CUTL,0.13333,0.13333,,000,181,181,,,
,080417JR1449,313482-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  .61  FT; Mesh Size: N/A;   Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,1,1,EA,200,FRP3,0.01667,0.01667,,000,181,181,,,
,080417JR1449,313482-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  .61  FT; Mesh Size: N/A;   Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,1,1,EA,200,FRP3,0.01667,0.01667,,000,181,181,,,
,080417JR1449,313482-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  .61  FT; Mesh Size: N/A;   Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",AL1633,1,1,EA,299,FRP3,0.03333,0.03333,,000,181,181,,,
,080417JR1449,313482-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  .61  FT; Mesh Size: N/A;   Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",AL1633,1,1,EA,299,FRP3,0.03333,0.03333,,000,181,181,,,
,080417JR1449,313482-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  .61  FT; Mesh Size: N/A;   Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",TM12NYH,1,1,EA,299,FRP3,0.03333,0.03333,,000,181,181,,,
,080417JR1449,313482-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  .61  FT; Mesh Size: N/A;   Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",TM12NYH,1,1,EA,299,FRP3,0.03333,0.03333,,000,181,181,,,
