"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080417EM0831,,AS-DL120,"; ",6,"16mm Hercules Rope Black",RNF16BK,3.2,M,140,CUTL,0.016,,000,181,181,,,
,080417EM0831,,AS-DL120,"; ",6,"16/33 Alum Ferrule",AL1633,2,EA,260,FRP1,0.06667,,000,181,181,,,
,080417EM0831,,AS-DL120,"; ",6,"1/2 Thimble SS",TM12SS,1,EA,260,MFER,0.00417,,000,181,181,,,
,080417EM0831,,AS-DL120,"; ",6,"Adventure Solutions Provided Black Plastic Rings (2 per box)Adventure Solutions Provided B",CSRINGBK-AS,1,EA,260,MFER,0.001,,000,181,181,,,
,080417EM0831,,AS-DL120,"; ",6,,StdPrice,,EA,000,XXX,,,000,181,181,,,
