"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,092917HL1020,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 3;Number of Systems per Bay: 1;Number of Nets per System: 1;",3,"160.05 SF PER NET; 160.05 SF PER SYSTEM; 820BK HTPP Black 2.5in Sq; ;MESH COUNT =228 x 17",218-060-06,164.85493,494.56479,SF,050,CUTS,0.13067,0.39201,,181,181,181,,,
,092917HL1020,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 3;Number of Systems per Bay: 1;Number of Nets per System: 1;",3,"Alum Ferrule 1/2in Soft Rope",AL1236,2,6,EA,060,MFER,0.06667,0.20001,,181,181,181,,,
,092917HL1020,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 3;Number of Systems per Bay: 1;Number of Nets per System: 1;",3,"83.00 FT PER NET; 83.00 FT PER SYSTEM; Hog Ring 1-1/2in Galvanized",HR112G,83,249,EA,070,HOGR,0.27667,0.83001,,181,181,181,,,
,092917HL1020,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 3;Number of Systems per Bay: 1;Number of Nets per System: 1;",3,"96.67 FT PER NET; 96.67 FT PER SYSTEM; Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,99.56667,298.70001,FT,200,MLGO,0.48333,1.44999,,181,181,181,,,
,092917HL1020,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 4.00 FT x 45.00 FT;Net Size: 3.33 FT x 45.00 FT;Number of Bay(s): 3;Number of Systems per Bay: 1;Number of Nets per System: 1;",3,"98.00 FT PER NET; 98.00 FT PER SYSTEM; HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 1.67 ft - 45.00 ft - 3.33  ft - 45.00 ft - 1.67 ft - 8 in",RPS3S050BK,100.93657,302.80971,FT,210,CWS,0.69998,2.09994,,181,181,181,,,
