"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,22.851,M,140,CUTP,0.26667,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,25.2648,M,140,CUTP,0.25,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",TM12SS,12,EA,299,FRP3,0.05,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,33.831,M,140,CUTP,0.26667,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,37.8972,M,140,CUTP,0.31667,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,9,EA,299,FRP3,0.21429,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",H438-18,12,EA,299,FRP3,0.28571,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Aluminum Knot-Ball 18mm 400/box",H444-18-VP,108,EA,299,FRP8,4.69565,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop",TM12SS,12,EA,299,FRP3,0.05,,000,181,181,,,
,080817JR1042,"8ft tunnel, no rings",NF18mm,"18mm Netform; Rope: 18mm Hercules Rope Black - Fiber Core;Mesh Size: N/A;   Term : 5/8 SS Lifting Eyenut w/ 1/2 SS Thimbled Loop;    Term : PRESSED 18mm Ferrule TERMINATION; ",1,"Term : 15/32 SS Shackle w/ Nylon Thimbled Loop",SHK15NSSS,2,EA,599,FRP3,0.002,,000,181,181,,,
