"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",Quantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080317BH1147,,TS-10B-INCORD,"10ft. InCord Backdrop display",1,"10ft. InCord Backdrop display",TS-10B-INCORD,1,EA,,PACK,,,000,181,003,,,
,080317BH1147,,TS-TV32,"10ft. InCord Backdrop display",1,"32"" Vizio TV, Model: D32X-D1,",TS-TV32,5,EA,,PACK,,,000,181,003,,,
,080317BH1147,,TS-10B-INCORD,"32"" Vizio TV, Model: D32X-D1,",5,"10ft. InCord Backdrop display",TS-10B-INCORD,1,EA,,PACK,,,000,181,003,,,
,080317BH1147,,TS-TV32,"32"" Vizio TV, Model: D32X-D1,",5,"32"" Vizio TV, Model: D32X-D1,",TS-TV32,5,EA,,PACK,,,000,181,003,,,
