"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,022218CC0949,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 10.00 FT x 10.00 FT;Net Size: 9.33 FT x 10.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;",1,"97.35 SF PER NET; 97.35 SF PER SYSTEM; 820BK HTPP Black 2.5in Sq; ;MESH COUNT =51 x 47",218-060-06,100.27531,100.27531,SF,050,CUTS,0.05333,0.05333,,430,181,181,,,,0.0528,999999999,999999999
,022218CC0949,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 10.00 FT x 10.00 FT;Net Size: 9.33 FT x 10.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;",1,"Alum Ferrule 1/2in Soft Rope",AL1236,2,2,EA,060,MFER,0.06667,0.06667,,430,181,181,,,,0.04,999999999,999999999
,022218CC0949,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 10.00 FT x 10.00 FT;Net Size: 9.33 FT x 10.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;",1,"36.00 FT PER NET; 36.00 FT PER SYSTEM; Hog Ring 1-1/2in Galvanized",HR112G,36,36,EA,070,HOGR,0.12,0.12,,430,181,181,,,,0.01,999999999,999999999
,022218CC0949,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 10.00 FT x 10.00 FT;Net Size: 9.33 FT x 10.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;",1,"38.67 FT PER NET; 38.67 FT PER SYSTEM; Polyester Braid 1/4in x 1000ft BlackPolyester Braid 1/4in x 1000ft",RPYB025BK,39.82667,39.82667,FT,200,MLGO,0.19333,0.19333,,430,181,181,,,,0.016,999999999,999999999
,022218CC0949,,BNNET,"BayNets Safety System Net Panel Only;Pit Size: 10.00 FT x 10.00 FT;Net Size: 9.33 FT x 10.00 FT;Number of Bay(s): 1;Number of System(s) per Bay: 1;Number of Net(s) per System: 1;",1,"40.00 FT PER NET; 40.00 FT PER SYSTEM; HTPP ProManila 3 Strand 1/2in x 600ft BlackHTPP ProManila 3 Strand 1/2in ;ROPE MARKING : 8 in - 4.67 ft - 10.00 ft - 9.33  ft - 10.00 ft - 4.67 ft - 8 in",RPS3S050BK,41.19657,41.19657,FT,210,CWS,0.28569,0.28569,,430,181,181,,,,0.044,999999999,999999999
