"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,16.2883,16.2883,M,140,CUTL,0.23333,0.23333,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"16mm Hercules Rope Black",RNF16BK,9.2705,9.2705,M,140,CUTL,0.2,0.2,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,5,5,EA,200,FRP3,0.08333,0.08333,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : Huck Standard T BK/SD",HT445BK,5,5,EA,200,FRP3,0.08333,0.08333,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,7,7,EA,200,FRP3,0.11667,0.11667,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",ENM10SS,7,7,EA,200,FRP3,0.11667,0.11667,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",AL1633,7,7,EA,299,FRP3,0.23333,0.23333,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",AL1633,7,7,EA,299,FRP3,0.23333,0.23333,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",TM12NYH,7,7,EA,299,FRP3,0.23333,0.23333,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop",TM12NYH,7,7,EA,299,FRP3,0.23333,0.23333,,000,181,181,,,
,080417JR1317,313056-16,NF16mm,"16mm Netform; Rope: 16mm Hercules Rope Black  30.42  FT;  Rope: 16mm Hercules Rope Black  53.44  FT; Mesh Size: N/A;   Term : Huck Standard T BK/SD;    Term : M10 Lifting Eyenut w/ Nylon Thimbled Loop;  Joint Color:Black",1,"444-1 Knot-ball 48mm Black",HCJBK,35,35,EA,300,ASY,1.16667,1.16667,,000,181,181,,,
