"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080917JR1354,210740-Alternative,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Term : PRESSED 18mm Ferrule TERMINATION Joint Color:Black",1,"Term : Huck Aluminum T",H438-18-VPS,30,30,EA,299,FRP6,0.0125,,000,181,181,,,
,080917JR1354,210740-Alternative,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Term : PRESSED 18mm Ferrule TERMINATION Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",AL6061F-18,12,12,EA,299,FRP5,0.28572,,000,181,000,,,
,080917JR1354,210740-Alternative,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Term : PRESSED 18mm Ferrule TERMINATION Joint Color:Black",1,"Term : PRESSED 18mm Ferrule TERMINATION",H438-18,1,1,EA,299,FRP3,0.02381,,000,181,181,,,
,080917JR1354,210740-Alternative,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Term : PRESSED 18mm Ferrule TERMINATION Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",SC381.75SS,12,12,EA,299,FRP5,0.012,,000,181,181,,,
,080917JR1354,210740-Alternative,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Term : PRESSED 18mm Ferrule TERMINATION Joint Color:Black",1,"18mm Hercules Rope Black - Fiber Core",RNF18BK-FC,12.93696,12.93696,M,140,CUTP,1.06668,,000,181,181,,,
,080917JR1354,210740-Alternative,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Term : PRESSED 18mm Ferrule TERMINATION Joint Color:Black",1,"Term : Clevis/Fork Termination w/ M10 Pin",LN38SS,12,12,EA,299,FRP5,0.012,,000,181,181,,,
,080917JR1354,210740-Alternative,NF18mm,"18mm Netform Rope: 18mm Hercules Rope Black - Fiber Core Mesh Size: N/A Term : Clevis/Fork Termination w/ M10 Pin Term : Huck Aluminum T Term : PRESSED 18mm Ferrule TERMINATION Joint Color:Black",1,"Term : Huck Aluminum T",H445-18-VP,30,30,EA,299,FRP7,1.30433,,000,181,181,,,
