"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,081617EM0817,,ROCBLOC-10K,"10K RocBloc; Width:5.00 FT; Length: 5.00 FT; Mesh Color: Black; ",1,"Webbing Polypropylene 2in Red",WPP200RD,9.9984,9.9984,FT,100,MSND,0.125,0.125,,000,181,181,,,
,081617EM0817,,ROCBLOC-10K,"10K RocBloc; Width:5.00 FT; Length: 5.00 FT; Mesh Color: Black; ",1,"820BK HTPP Black 2.5in Sq",218-060-06,25,25,SF,100,CUTS,0.02667,0.02667,,000,181,000,,,
