"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes
,080717BH1508,PSN1540,PSNCDL,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 40.00 FT x 15.00 FT; Serial #:",1,"Snap Hook 120mm ZP",SH120ZP,44,44,EA,300,ASY,0.73333,,430,181,181,,,
,080717BH1508,PSN1540,PSNCDL,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 40.00 FT x 15.00 FT; Serial #:",1,"Set up and Other Overhead Costs",SETU,0.25,0.25,,999,SETU,0.00556,,430,181,181,,,
,080717BH1508,PSN1540,PSNC,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 40.00 FT x 15.00 FT; Serial #:",1,"210/378 Ply Knotted Nylon FR, 7in Str x 60MD x 700ML Expanded Single Selvedge, Dyed Black and Bonded (575lb Bale)",120-089-06-25FR,600,600,SF,120,CUTD,0.51502,,430,181,181,,,
,080717BH1508,PSN1540DL,PSNCDL,"Custom Personnel Safety Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010
WS70 Debris Liner Attached; Net Size: 40.00 FT x 15.00 FT ;Liner Size: 44.00 FT x 16.50 FT; Serial #:",1,"Set up and Other Overhead Costs",SETU,0.25,0.25,,999,SETU,0.00556,,430,181,181,,,
,080717BH1508,PSN1540DL,PSNC,"Custom Personnel Safety Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010
WS70 Debris Liner Attached; Net Size: 40.00 FT x 15.00 FT ;Liner Size: 44.00 FT x 16.50 FT; Serial #:",1,"210/378 Ply Knotted Nylon FR, 7in Str x 60MD x 700ML Expanded Single Selvedge, Dyed Black and Bonded (575lb Bale)",120-089-06-25FR,600,600,SF,120,CUTD,0.51502,,430,181,181,,,
,080717BH1508,PSN1540DL,PSNC,"Custom Personnel Safety Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010
WS70 Debris Liner Attached; Net Size: 40.00 FT x 15.00 FT ;Liner Size: 44.00 FT x 16.50 FT; Serial #:",1,"HTPP Polysteel 3 Strand 1/2in x 1,000mHTPP Polysteel 3 Strand 1/2in",RPS3S050BK,112.33,112.33,FT,120,CWS,0.80236,,430,181,181,,,
,080717BH1508,PSN1540DL,PSNC,"Custom Personnel Safety Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010
WS70 Debris Liner Attached; Net Size: 40.00 FT x 15.00 FT ;Liner Size: 44.00 FT x 16.50 FT; Serial #:",1,"Snap Hook 120mm ZP",SH120ZP,44,44,EA,120,ASY,0.73333,,430,181,181,,,
,080717BH1508,PSN1540DL,PSNC,"Custom Personnel Safety Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010
WS70 Debris Liner Attached; Net Size: 40.00 FT x 15.00 FT ;Liner Size: 44.00 FT x 16.50 FT; Serial #:",1,"Art No 2017G Black Plastic Thimble for Corner Attachment Please ship with Attachment Screws
Art No 2017G Black Plastic Thi",TMPSN,4,4,EA,120,DRIL,0.13333,,430,181,181,,,
,080717BH1508,PSN1540DL,PSNC,"Custom Personnel Safety Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010
WS70 Debris Liner Attached; Net Size: 40.00 FT x 15.00 FT ;Liner Size: 44.00 FT x 16.50 FT; Serial #:",1,"Short Double Loop Tag Clip for Metal Tag for Personnel Safety NetShort Double Loop Tag Clip for",TC-PSN,1,1,EA,120,ATT,0.03333,,430,181,000,,,
,080717BH1508,PSN1540DL,PSNC,"Custom Personnel Safety Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010
WS70 Debris Liner Attached; Net Size: 40.00 FT x 15.00 FT ;Liner Size: 44.00 FT x 16.50 FT; Serial #:",1,"Metal Tag for Personnel Safety NetMetal Tag for Personnel Safety",MT-PSN,1,1,EA,120,ATT,0.03333,,430,181,000,,,
